name	Porcion en g/ml	Que es la porcion?	Unidad en g/ml	sample_size	sample_unit	calories	carbs	sugar	protein	fat	trans_fat	saturated_fat	fiber
Choclo	130		200	100	g	51	8.1	2.6	1.2	1.5	0	0	3.3
Toddy chocolate	30		10	100	g	539	89		5.7	18	0.6	7.6	1.8
Ciptric	200			100	ml	41	9.5		0.7	0	0	0	1.1
Salchichon primavera	40	2 fetas	20	40	g	78	3.8		4.8	4.8	0	2	0
Salchichon c/ Jamon	40	2 fetas	20	40	g	78	3.8		4.8	4.8	0	2	0
Jamon	33	1 feta	33	33	g	32	0.5		5.4	1	0	0.3	0
Lomo de cerdo	40	4 fetas	10	40	g	54	0		7.3	2.8	0	2.4	0
Cremon	30			100	g	358	1		14	33	1	20	0
Finlandia	30	4 cditas		30	g	86	1		21	8.2	0.3	4.8	0
Pan lactal bimbo	50	2 rebanadas		50	g	120	22	1.9	4.8	1.3	0	0.2	2.2
Pan panadero fargo	50	1/4 unidad	70	50	g	128	11	2.2	5.5	1.9	0	0.4	1.5
Manzana	160	manzana chica	160	100	g	52	14	10	0.3	0.2	0	0	2.4
Pera	140	pera chica	140	100	g	57	15	10	0.4	0.1	0	0	3.1
Banana				100	g	89	23	12	1.1	0.3	0	0.1	2.6
Huevo	50	huevo grande	50	100	g	155	1.1	1.1	13	11		3.3	0
Clara de huevo	33	clara de un huevo grande	33	100	g	52	0.7	0.7	11	0.2		0	0
Yema de huevo	17	tema de un huevo grande	17	100	g	322	3.6	0.6	16	27		10	0
Atun al natural	60	3 cdas		100	g	100	1.7		21	0.9		0.3	0
Leche entera	200	1 vaso		100	ml	58	4.8		3	3	0	1.9	0
Yogur bebile 	200			200	g	135	23		5.3	2.4	0	1.6	0
Brotola	120	porcion mediana		120	g	98	0.3		21.4	1.3	0	0.2	0
Morron	74	small		100	g	20	4.6	2.4	0.9	0.2	0	0.1	1.7
Tomate	70	tomate chico?		100	g	18	3.9	2.6	0.9	0.2	0	0	1.2
Cebolla	70	cebolla chca?		100	g	40	9	4.2	1.1	0.1	0	0	1.7
Cerveza				100	ml	43	3.6	0	0.5	0	0	0	0
Harina	50	1/2 taza (de te)		50	g	162	36		5	0	0	0	1.5
